ID;HTS;NRES;IFM;ILM;ICH;SEXO;AUTLIC;NSET;TVIA1;TVIA2;TVIA3;TVIA4;TVIA5;TVIA6;TVIA7;TVIA8;TVIA9;TCAM1;TCAM2;TCAM3;TCAM4;TCAM5;TCAM6;TCAM7;TCAM8;   ;TVIB1;TVIB2;TVIB3;TVIB4;TVIB5;TVIB6;TVIB7;TVIB8;TVIB9;D1;D2;TESP3;TESP4;TESP5;TESP6;TESP7;TESP8;TESP9;CTOT1;CTOT2;CTOT3;CTOT4;CTOT5;CTOT6;CTOT7;CTOT8;CTOT9;HORA;NOD1;NOD2;JEFH;NAUT;NEST;NTRAB;LTOT;TVIA6A;TVIA6M;TVIA7A;TVIA7M;TVIA8T;TVIA8M;TVIA9B;TVIA9M;DISP1;DISP2;DISP3;DISP4;DISP5;DISP6;DISP7;DISP8;DISP9;LasCondes
1;44;4;28000;28000;5;1;0;2;0;0;365;0;521;0;0;0;0;0;0;418;0;418;0;0;0;0;0;0;331;0;487;0;0;0;0;0;0;138;0;12;0;0;0;0;0;0;80;0;40;0;0;0;0;755;303;513;1;0;2;1;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0
1;44;4;85000;25000;4;0;0,5;5;448;448;536;468;1142;0;0;0;0;202;202;288;331;288;0;0;0;0;415;415;474;468;1002;0;0;0;0;1;0;18;78;12;0;0;0;0;64;7;50;13;20;0;0;0;0;805;707;701;0;1;2;2;2;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;1
2;40;3;28000;28000;4;1;0;2;0;0;0;372;340;0;0;0;0;0;0;0;353;331;0;0;0;0;0;0;0;372;336;0;0;0;0;0;0;0;192;6;0;0;0;0;0;0;0;25;40;0;0;0;0;745;304;113;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0
2;44;5;150000;47000;4;0;0,33;5;744;744;641;702;1399;0;0;0;0;216;216;346;360;346;0;0;0;0;695;695;588;702;1206;0;0;0;0;1;0;24;78;30;0;0;0;0;85;13;60;13;20;0;0;0;0;810;311;27;0;1;3;2;3;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;1
3;44;6;80000;20000;4;1;0;2;0;0;0;684;835;0;0;0;0;0;0;0;972;886;0;0;0;0;0;0;0;684;827;0;0;0;0;0;0;0;192;12;0;0;0;0;0;0;0;25;40;0;0;0;0;755;502;113;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0
3;44;3;65000;65000;4;1;0,5;5;527;527;480;396;1082;0;0;0;0;144;144;230;360;230;0;0;0;0;488;488;425;396;949;0;0;0;0;1;0;18;78;6;0;0;0;0;65;7;60;13;20;0;0;0;0;810;707;27;1;1;0;1;2;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;1
4;47;3;50000;36000;4;1;0;2;0;0;0;294;485;0;0;0;0;0;0;0;475;461;0;0;0;0;0;0;0;294;462;0;0;0;0;0;0;0;192;42;0;0;0;0;0;0;0;25;40;0;0;0;0;755;507;512;1;0;1;2;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0
4;44;6;107000;22000;4;1;0,5;4;0;672;647;702;1420;0;0;0;0;0;144;338;504;338;0;0;0;0;0;628;594;702;1224;0;0;0;0;1;0;24;78;30;0;0;0;0;0;11;60;13;20;0;0;0;0;800;711;27;0;1;3;2;2;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;1
5;50;3;17500;13500;5;1;0;3;0;0;466;372;382;0;0;0;0;0;0;562;461;353;0;0;0;0;0;0;420;372;378;0;0;0;0;0;0;138;192;6;0;0;0;0;0;0;80;25;40;0;0;0;0;750;506;113;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0
5;44;7;150000;120000;4;1;0,5;5;877;877;706;768;1539;0;0;0;0;216;216;468;886;468;0;0;0;0;812;812;636;768;1272;0;0;0;0;0;1;24;78;30;0;0;0;0;80;15;60;13;20;0;0;0;0;800;712;27;1;2;3;2;4;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;1
